BveTs Sound List 2.00:
#Staions
hakurei1,sound\station\hakurei1.wav
102-9-arr,sound\shanai\102\9-Kmyoren-arr.wav
102-9-dep,sound\shanai\102\9-Kmyoren-dep.wav
102-10-arr,sound\shanai\102\10-jyukai-arr.wav
102-10-dep,sound\shanai\102\10-jyukai-dep.wav
102-11-arr,sound\shanai\102\11-kusada-arr.wav
102-11-dep,sound\shanai\102\11-kusada-dep.wav
102-12-arr,sound\shanai\102\12-moriya-arr.wav
102-12-arr-nokt,sound\shanai\102\12-moriya-arr-noktml.wav
102-12-dep,sound\shanai\102\12-moriya-dep.wav
102-13-arr,sound\shanai\102\13-fujin-arr.wav
102-13-dep,sound\shanai\102\13-fujin-dep.wav
102-15-arr,sound\shanai\102\15-genbu-arr.wav
102-15-dep,sound\shanai\102\15-genbu-dep.wav
102-16-arr,sound\shanai\102\16-korin-arr.wav
102-16-dep,sound\shanai\102\16-korin-dep.wav
102-17-arr,sound\shanai\102\17-mori-arr.wav
102-17-arr-noic,sound\shanai\102\17-mori-arr-nointerch.wav
102-17-dep,sound\shanai\102\17-mori-dep.wav
102-18-arr,sound\shanai\102\18-kirinoko-arr.wav
102-18-dep,sound\shanai\102\18-kirinoko-dep.wav
102-19-arr,sound\shanai\102\19-koma-arr.wav
102-19-arr-noic,sound\shanai\102\19-koma-arr-nointerch.wav
102-19-dep,sound\shanai\102\19-koma-dep.wav
102-20-arr,sound\shanai\102\20-kamikiri-arr.wav
102-20-dep,sound\shanai\102\20-kamikiri-dep.wav
102-21-arr,sound\shanai\102\21-kitahakurei-arr.wav
102-21-dep,sound\shanai\102\21-kitahakurei-dep.wav
102-22-arr,sound\shanai\102\22-hakurei-arr.wav
102-22-arr-noic,sound\shanai\102\22-hakurei-arr-nointerch.wav

#mix
ningen1+102nin,sound\station\ningennosato1+102nin.wav
moriya1+102mry,sound\station\moriya1+102mry.wav
kouma1+102kmk,sound\station\kouma1+102kmk.wav
